Id,Model,Ram,Hdd,Location,Price
158,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,DallasDAL-10,$380.99
159,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x960GBSSD,FrankfurtFRA-10,€362.99
160,Dell R730XD2x Intel Xeon E5-2650v4,128GBDDR4,4x960GBSSD,FrankfurtFRA-10,€471.99
161,HP DL180G62x Intel Xeon E5645,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$187.99
162,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$225.99
163,Dell R730XD2x Intel Xeon E5-2650V3,128GBDDR4,2x120GBSSD,SingaporeSIN-11,S$545.99
164,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$303.99
165,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$411.99
166,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€254.99
167,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$305.99
168,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$305.99
169,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$382.99
170,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$437.99
171,HP DL180 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$362.99
172,HP DL180 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€318.99
173,Dell R6302x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,SingaporeSIN-11,S$555.99
174,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,San FranciscoSFO-12,$105.99
175,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$105.99
176,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x500GBSATA2,DallasDAL-10,$110.99
177,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,DallasDAL-10,$105.99
178,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,DallasDAL-10,$121.99
179,HP DL120G6Intel G6950,4GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$49.99
180,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$110.99
181,HP DL120G91x Intel E5-1650v3,64GBDDR4,2x120GBSSD,San FranciscoSFO-12,$263.99
182,HP DL120G91x Intel E5-1650v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$263.99
183,HP DL120G9Intel Xeon E5-1650v3,64GBDDR4,2x120GBSSD,Hong KongHKG-10,S$368.99
184,HP DL120G9Intel Xeon E5-1650v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$368.99
185,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1328.99
186,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1516.99
187,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€1044.99
188,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1787.99
189,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€756.99
190,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€874.99
191,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Washington D.C.WDC-01,$135.99
192,HP DL120G91x Intel E5-1620v3,16GBDDR4,4x1TBSATA2,Washington D.C.WDC-01,$176.99
193,Dell R730XD2x Intel Xeon E5-2620v4,64GBDDR4,4x2TBSATA2,FrankfurtFRA-10,€204.99
194,HP DL120G6Intel G6950,4GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$43.99
195,HP DL20 G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,SingaporeSIN-11,S$208.00
196,HP DL20 G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Hong KongHKG-10,S$208.00
197,Dell R210-IIIntel Xeon E3-1230v2,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$139.00
198,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,Washington D.C.WDC-01,$421.99
199,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,FrankfurtFRA-10,€350.99
200,HP DL120G7Intel Xeon E3-1270,16GBDDR3,4x1TBSATA2,FrankfurtFRA-10,€87.99
201,HP DL120G7Intel Xeon E3-1230,16GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$103.99
202,Supermicro SC8131x Intel E5-1650v2,64GBDDR3,2x120GBSSD,Washington D.C.WDC-01,$233.99
203,HP DL120G91x Intel E5-1650v3,64GBDDR4,4x2TBSATA2,FrankfurtFRA-10,€219.99
204,HP DL120G91x Intel E5-1650v3,64GBDDR4,4x2TBSATA2,Washington D.C.WDC-01,$275.99
205,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Washington D.C.WDC-01,$135.99
206,HP DL120G7Intel Xeon E3-1240,16GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$105.99
207,HP DL120G91x Intel E5-1650v3,32GBDDR4,4x1TBSATA2,San FranciscoSFO-12,$239.99
208,HP DL120G6Intel Xeon X3440,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$69.99
209,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,San FranciscoSFO-12,$135.99
210,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,San FranciscoSFO-12,$437.99
211,HP DL120G6Intel Xeon X3440,8GBDDR3,2x240GBSSD,Washington D.C.WDC-01,$69.99
212,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,4x480GBSSD,Washington D.C.WDC-01,$399.99
213,HP DL380eG82x Intel Xeon E5-2420,32GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€142.99
214,Dell R7202x Intel Xeon E5-2643,32GBDDR3,2x120GBSSD,FrankfurtFRA-10,€221.99
215,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€187.99
216,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€165.99
217,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,FrankfurtFRA-10,€165.99
218,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,FrankfurtFRA-10,€247.99
219,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$225.99
220,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$225.99
